"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002385","GO:0002385","mucosal immune response","7/1276","14/13486",0.000126074308001326,0.0017184476329746,0.00127841367810269,"H2BC11/PIGR/NOD2/H2BC4/H2BC21/H2BC12/H2BC6",7
"GO:0032695","GO:0032695","negative regulation of interleukin-12 production","7/1276","14/13486",0.000126074308001326,0.0017184476329746,0.00127841367810269,"IRAK3/ACP5/JAK3/CCR7/NOD2/CMKLR1/TIGIT",7
"GO:0051209","GO:0051209","release of sequestered calcium ion into cytosol","21/1276","93/13486",0.000127015793176639,0.00172658866822228,0.00128447008076219,"CX3CL1/P2RX7/CAPN3/CEMIP/JPH1/BNIP1/CASQ2/FKBP1B/PTK2B/CCR7/ANK2/ITPR1/MCOLN2/THY1/CXCL10/CXCL11/HAP1/TRDN/RYR3/LYN/ITGB3",21
"GO:0140888","GO:0140888","interferon-mediated signaling pathway","19/1276","80/13486",0.000129406873449815,0.0017496088334886,0.00130159559194096,"TXK/OAS1/HCK/HPX/OAS3/OAS2/IFIH1/STAT1/TRIM6/IRF1/PARP9/IFI27/STAT2/PARP14/IFNE/IFITM1/ISG15/IFI27/IRF7",19
"GO:1903707","GO:1903707","negative regulation of hemopoiesis","19/1276","80/13486",0.000129406873449815,0.0017496088334886,0.00130159559194096,"TMEM176A/SNAI2/CD74/IL4R/CEACAM1/SFRP1/JAK3/TNFSF18/TNFAIP6/IRF1/FGL2/HLX/TLR4/MYC/ZC3H12A/SHH/TRIB1/ERFE/LYN",19
"GO:0043010","GO:0043010","camera-type eye development","44/1276","263/13486",0.000129964437897021,0.00175242371099854,0.00130368967839542,"SOX8/PROM1/ATP2B4/DCX/ACHE/NRP1/VSX1/JAG1/TSPAN12/CRYAB/NR2E1/PDGFRB/PROX1/RDH10/NEUROD4/BFSP1/ALDH1A2/PDGFRA/KLF4/CYP1B1/RBP4/BMPR1B/CYP1A1/COL8A1/NTRK2/CRB2/THY1/NEUROD1/TGFBR2/PITX2/SHH/FAT3/RET/COL8A2/ZHX2/RP1L1/SLITRK6/NHS/SPRED3/RORB/AQP1/MEGF11/CLN8/STRA6",44
"GO:0007599","GO:0007599","hemostasis","32/1276","171/13486",0.000131092945209817,0.00176290137579743,0.00131148438202004,"TFPI/PLAUR/TXK/FBLN1/FAP/CEACAM1/MYL9/PLAT/TFPI2/SERPINE1/PLAU/APOE/VAV3/PDGFRA/IL6/DGKB/TLR4/ENTPD1/DGKI/F11R/ITGA2/SHH/AXL/PROS1/F8/PRKG1/SERPINA1/PDGFA/LYN/ITGB3/ANXA8/COL3A1",32
"GO:0043068","GO:0043068","positive regulation of programmed cell death","67/1276","452/13486",0.000133301693840402,0.00178781095268304,0.00133001549300373,"FAS/NGFR/TP63/FAP/TP73/WNT11/P2RX7/TFAP4/GADD45B/EEF1A2/SRPX/PYCARD/BMF/SFRP1/SFRP4/SEPTIN4/MAP2K6/ZBTB16/GBP3/GBP1/CNR1/MYB/TGFB3/CDKN1A/IRF5/ALDH1A2/HRK/AGT/IL6/TLR4/CTSV/MYC/CYP1B1/BMPR1B/CARM1/IGFBP3/GSN/ADM/PLA2R1/GBP5/KCNMA1/SQSTM1/LAPTM5/ATF3/NEUROD1/INHBB/CTSS/MSX1/ZC3H12A/HPGD/RET/PLEKHF1/LGALS9/CRADD/JUN/CSRNP3/UNC5C/PLEKHN1/TGM2/UBD/UBD/ITGA1/PNMA2/LYN/ID3/SQSTM1/SOD2",67
"GO:0033003","GO:0033003","regulation of mast cell activation","11/1276","33/13486",0.000141835875756608,0.00188713197027891,0.00140390389377964,"GAB2/STXBP2/IL4R/CNR1/VAMP8/NR4A3/CD226/ENPP3/LGALS9/LYN/MILR1",11
"GO:0050829","GO:0050829","defense response to Gram-negative bacterium","11/1276","33/13486",0.000141835875756608,0.00188713197027891,0.00140390389377964,"PYCARD/SERPINE1/IL23A/OPTN/H2BC11/IL6/TLR4/MR1/SSC5D/H2BC12/AQP1",11
"GO:1905521","GO:1905521","regulation of macrophage migration","11/1276","33/13486",0.000141835875756608,0.00188713197027891,0.00140390389377964,"CX3CL1/TRPV4/TNFSF18/PTK2B/MTUS1/CYP19A1/MSTN/MMP14/IL34/CMKLR1/C5AR1",11
"GO:0003018","GO:0003018","vascular process in circulatory system","36/1276","202/13486",0.00014476270385122,0.00191590955809425,0.00142531255423574,"ABCC8/SLC38A5/ATP2B4/TBXAS1/CEACAM1/TJP3/ACTA2/ABCC3/SOD3/TRPV4/FAAH/TEK/APOE/ACE2/AGT/ADD3/ADM/KCNMA1/CBS/UCN/GUCY1A1/SLC7A3/BDKRB2/NPR1/ADRA1B/ADRA1D/PDE3A/FGFBP3/HTR1D/PRKG1/SLC38A3/HRH1/OCLN/C2CD4A/ITGA1/SOD2",36
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","36/1276","202/13486",0.00014476270385122,0.00191590955809425,0.00142531255423574,"CRLF1/GPRC5A/CD74/IL11/NRP1/HCK/SFRP1/JAK3/HPX/IL23A/HBEGF/PDGFRB/TEK/TNFSF18/PTK2B/LIF/SH3BP5/PDGFRA/AGT/IL6/ENPP2/PARP9/LRRK1/IL34/PLPP3/NOD2/EFNA1/ALK/PARP14/HCLS1/EFNA5/TNFRSF18/PDGFA/LYN/ITGB3/PECAM1",36
"GO:1905517","GO:1905517","macrophage migration","13/1276","44/13486",0.000145169807508947,0.0019162414591181,0.00142555946708925,"CX3CL1/TRPV4/TNFSF18/PTK2B/MTUS1/CYP19A1/MSTN/MCOLN2/MMP14/IL34/ROR2/CMKLR1/C5AR1",13
"GO:0042092","GO:0042092","type 2 immune response","10/1276","28/13486",0.000148149168558096,0.00195043629786722,0.00145099821118511,"CD74/IL4R/ARG2/MYB/RSAD2/IL6/HLX/IL33/NOD2/DENND1B",10
"GO:0051283","GO:0051283","negative regulation of sequestering of calcium ion","21/1276","94/13486",0.000149221368412899,0.00195940938209188,0.00145767360436408,"CX3CL1/P2RX7/CAPN3/CEMIP/JPH1/BNIP1/CASQ2/FKBP1B/PTK2B/CCR7/ANK2/ITPR1/MCOLN2/THY1/CXCL10/CXCL11/HAP1/TRDN/RYR3/LYN/ITGB3",21
"GO:0071216","GO:0071216","cellular response to biotic stimulus","33/1276","180/13486",0.000155639374520237,0.00203834752635381,0.00151639846825406,"CX3CL1/NR1H4/CXCL2/IRAK3/HCK/PYCARD/SERPINE1/IL1A/GBP3/TNFAIP3/IL1B/ZFP36/CD68/IRAK2/CMPK2/IL6/TLR4/IGFBPL1/GBP5/LY96/SPON2/CXCL3/CXCL5/ZC3H12A/NOD2/AXL/CXCL10/CXCL11/CXCL8/CD14/TRIB1/PDCD1LG2/LYN",33
"GO:0048844","GO:0048844","artery morphogenesis","15/1276","56/13486",0.00015666979653393,0.00204118363484206,0.00151850834918054,"MYLK/WNT11/NRP1/JAG1/EYA1/BMPR1A/PDGFRB/PROX1/APOE/TGFBR2/HPGD/EFEMP2/NOG/STRA6/COL3A1",15
"GO:0072171","GO:0072171","mesonephric tubule morphogenesis","15/1276","56/13486",0.00015666979653393,0.00204118363484206,0.00151850834918054,"SOX8/WNT11/EYA1/TMEM59L/FGF1/PAX8/CITED1/AGT/MYC/GPC3/SHH/GDNF/NPNT/NOG/PTCH1",15
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","40/1276","234/13486",0.000161908790704254,0.00210397537350398,0.00156522133364216,"PRKCH/TXK/PAK3/CEACAM1/OAS1/HCK/LIPA/LPXN/HHLA2/GBP1/TNFAIP3/NR4A3/NMI/CCR7/RFTN1/IRAK2/VAV3/TLR4/TNFRSF21/CD226/THY1/LY96/PIK3AP1/ICOSLG/LAPTM5/PIGR/ZC3H12A/NOD2/NFKBID/CD14/TMEM126A/CMKLR1/C5AR1/CD247/HLA-A/DENND1B/HLA-A/LYN/CD24/TRAC",40
"GO:0071346","GO:0071346","cellular response to type II interferon","20/1276","88/13486",0.000166070475125987,0.00215247933651666,0.0016013051389137,"CX3CL1/CCL26/TXK/HCK/CCL24/HPX/CCL20/STAT1/GBP3/GBP1/IRF1/TLR4/PARP9/GSN/GBP5/GBP4/LGALS9/AQP4/PARP14/HLA-DPA1",20
"GO:1902106","GO:1902106","negative regulation of leukocyte differentiation","18/1276","75/13486",0.000167471643993451,0.00216504578935863,0.00161065376548232,"TMEM176A/CD74/IL4R/CEACAM1/SFRP1/JAK3/TNFSF18/TNFAIP6/IRF1/FGL2/HLX/TLR4/MYC/ZC3H12A/SHH/TRIB1/ERFE/LYN",18
"GO:0033628","GO:0033628","regulation of cell adhesion mediated by integrin","12/1276","39/13486",0.000169604711994776,0.00218698518088894,0.00162697525103905,"SNAI2/SERPINE1/LPXN/PLAU/LIF/CYP1B1/RET/EFNA1/RAC3/DPP4/LYN/ITGB3",12
"GO:0018212","GO:0018212","peptidyl-tyrosine modification","36/1276","204/13486",0.000177353851768182,0.00228104338581847,0.00169694846023807,"CRLF1/GPRC5A/CD74/IL11/NRP1/HCK/SFRP1/JAK3/HPX/IL23A/HBEGF/PDGFRB/TEK/TNFSF18/PTK2B/LIF/SH3BP5/PDGFRA/AGT/IL6/ENPP2/PARP9/LRRK1/IL34/PLPP3/NOD2/EFNA1/ALK/PARP14/HCLS1/EFNA5/TNFRSF18/PDGFA/LYN/ITGB3/PECAM1",36
"GO:0048661","GO:0048661","positive regulation of smooth muscle cell proliferation","17/1276","69/13486",0.000179307175765244,0.00230026801442062,0.00171125033810147,"CX3CL1/SMPD3/BMPR1A/HBEGF/PDGFRB/STAT1/IGFBP5/MYB/NR4A3/EREG/IL6/TLR4/ADAMTS1/HPGD/ITGA2/JUN/ITGB3",17
"GO:0060048","GO:0060048","cardiac muscle contraction","22/1276","102/13486",0.000180652207292323,0.0023116108973936,0.00171968870797874,"EHD3/PKP2/MAP2K6/MYL2/CASQ2/FKBP1B/CXCR4/KCNJ2/FGF13/ACE2/ANK2/GSN/KCNE4/GPD1L/TTN/UCN/ZC3H12A/ADRA1B/TCAP/KCNE1/GJC1/CTNNA3",22
"GO:0097553","GO:0097553","calcium ion transmembrane import into cytosol","26/1276","130/13486",0.000181579513399701,0.00231756447636871,0.00172411778492552,"CX3CL1/SCN4A/ATP2B4/P2RX7/CAPN3/CEMIP/JPH1/TRPV4/BNIP1/CASQ2/FKBP1B/PTK2B/CCR7/SCN2A/ANK2/ITPR1/MCOLN2/THY1/CXCL10/CXCL11/HAP1/TRDN/CACNA1E/RYR3/LYN/ITGB3",26
"GO:1905523","GO:1905523","positive regulation of macrophage migration","8/1276","19/13486",0.000183133124974822,0.00233146130678606,0.00173445612619755,"CX3CL1/TRPV4/TNFSF18/MSTN/MMP14/IL34/CMKLR1/C5AR1",8
"GO:0030858","GO:0030858","positive regulation of epithelial cell differentiation","13/1276","45/13486",0.000186658802725694,0.00236434483452546,0.00175891933987928,"PROM1/PRKCH/TP73/SERPINE1/SFRP4/PAX8/LIF/PLAAT4/CDKN2B/TMEM100/GDNF/PTCH1/CD24",13
"GO:0061045","GO:0061045","negative regulation of wound healing","13/1276","45/13486",0.000186658802725694,0.00236434483452546,0.00175891933987928,"TFPI/PLAUR/FAP/CEACAM1/PLAT/SERPINE1/PLAU/APOE/PDGFRA/PROS1/PRKG1/PDGFA/EPPK1",13
"GO:0032370","GO:0032370","positive regulation of lipid transport","16/1276","63/13486",0.000188713110632875,0.00238434499479723,0.00177379816304797,"P2RX7/PLTP/MAP2K6/IL1A/MYB/IL1B/APOE/CYP19A1/ABCA8/ABCA12/DAB2/PLA2R1/ERFE/ABCA13/PTCH1/ACSL5",16
"GO:0009914","GO:0009914","hormone transport","39/1276","228/13486",0.000191695354637221,0.00240042132557103,0.0017857579113467,"ABCC8/BAIAP3/NR1H4/PTPRN/SREBF1/IL11/SMPD3/CRYM/SFRP1/TRPV4/CNR1/MYB/VAMP8/FKBP1B/IL1B/PAX8/LIF/VGF/ANO1/SNAP25/AGT/IL6/CYP19A1/RBP4/ABCA12/EPHA5/ITPR1/DAB2/RAB11FIP1/KCNB1/NEUROD1/INHBB/UCN/CPLX1/EFNA5/PCLO/GABBR1/AQP1/LYN",39
"GO:0001911","GO:0001911","negative regulation of leukocyte mediated cytotoxicity","11/1276","34/13486",0.000191899711234845,0.00240042132557103,0.0017857579113467,"CEACAM1/LGALS9/HLA-E/HLA-A/HLA-A/HLA-B/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",11
"GO:0031342","GO:0031342","negative regulation of cell killing","11/1276","34/13486",0.000191899711234845,0.00240042132557103,0.0017857579113467,"CEACAM1/LGALS9/HLA-E/HLA-A/HLA-A/HLA-B/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",11
"GO:1902622","GO:1902622","regulation of neutrophil migration","11/1276","34/13486",0.000191899711234845,0.00240042132557103,0.0017857579113467,"CD74/IL23A/IL1A/IL1R1/TNFAIP6/CCR7/NOD2/CXCL8/RAC3/C5AR1/DPP4",11
"GO:1901888","GO:1901888","regulation of cell junction assembly","33/1276","182/13486",0.000193051948373782,0.0024088272961266,0.00179201140870662,"SNAI2/PRKCH/MUSK/NTN1/COL16A1/NRP1/SFRP1/ICAM5/MDGA1/TEK/PTK2B/SDC4/IL1B/ACE2/LRRC4B/SNAP25/AGT/AMIGO2/NTRK2/THY1/MMP14/CLSTN2/F11R/LRRN1/SLITRK1/NRXN1/EFNA5/SLITRK6/ROBO2/SLITRK2/APOD/NLGN3/COLQ",33
"GO:0050810","GO:0050810","regulation of steroid biosynthetic process","14/1276","51/13486",0.000194241237422221,0.0024176527218607,0.00179857695353735,"NR1H4/SNAI2/DKK3/SREBF1/SEC14L2/FGF1/IL1A/PROX1/APOE/DHH/ADM/DAB2/IGFBP7/PRKG1",14
"GO:0045069","GO:0045069","regulation of viral genome replication","18/1276","76/13486",0.000200343325688448,0.00248743099419122,0.00185048746629898,"OAS1/OAS3/OAS2/IFIH1/PROX1/TRIM6/SLPI/BST2/RSAD2/OASL/HMGA2/MX1/IFI16/CXCL8/APOBEC3B/IFIT1/IFITM1/ISG15",18
"GO:0048762","GO:0048762","mesenchymal cell differentiation","37/1276","213/13486",0.000201693320848323,0.00249800912932145,0.00185835691333933,"SOX8/SEMA3B/SNAI2/WNT11/BAMBI/NRP1/JAG1/SFRP1/BMPR1A/COL1A1/FN1/STAT1/TGFB3/RDH10/IL1B/ALDH1A2/GSC/AGT/IL6/CRB2/HMGA2/DAB2/MSX1/TGFBR2/PITX2/SHH/RET/TMEM100/GDNF/AXIN2/EFNA1/HAS2/LRG1/NOG/SPRED3/VASN/SEMA7A",37
"GO:0051282","GO:0051282","regulation of sequestering of calcium ion","21/1276","96/13486",0.000204131093690049,0.0025219743003677,0.00187618544757901,"CX3CL1/P2RX7/CAPN3/CEMIP/JPH1/BNIP1/CASQ2/FKBP1B/PTK2B/CCR7/ANK2/ITPR1/MCOLN2/THY1/CXCL10/CXCL11/HAP1/TRDN/RYR3/LYN/ITGB3",21
"GO:0030574","GO:0030574","collagen catabolic process","10/1276","29/13486",0.000207090547842258,0.00254478930672142,0.00189315833382176,"MRC2/FAP/MMP19/MMP24/MMP7/ADAMTS14/ADAMTS3/MMP14/CTSS/MMP23B",10
"GO:0002719","GO:0002719","negative regulation of cytokine production involved in immune response","9/1276","24/13486",0.000207499766038489,0.00254478930672142,0.00189315833382176,"IRAK3/ACP5/JAK3/TGFB3/BST2/NOD2/AXL/HLA-F/HLA-F",9
"GO:0010758","GO:0010758","regulation of macrophage chemotaxis","9/1276","24/13486",0.000207499766038489,0.00254478930672142,0.00189315833382176,"TRPV4/TNFSF18/PTK2B/MTUS1/CYP19A1/MSTN/IL34/CMKLR1/C5AR1",9
"GO:0002468","GO:0002468","dendritic cell antigen processing and presentation","6/1276","11/13486",0.000215605630657886,0.00263775083751209,0.00196231568852942,"CD74/CCR7/FGL2/CD68/NOD2/HLA-DRA",6
"GO:0061564","GO:0061564","axon development","64/1276","434/13486",0.000216831033555638,0.00264326952975096,0.00196642123792646,"ANOS1/SEMA3B/NGFR/NTN1/PAK3/NRCAM/CRTAC1/NRP1/EFNA2/NOVA2/APLP1/DLX5/PTN/CXCL12/LGI1/RND2/NR2E1/FN1/CNR1/FKBP1B/EGR2/NEUROD4/FGF13/APOE/SNAP25/CHL1/KLF4/MGARP/BMPR1B/EPHA5/TNFRSF21/NTRK2/PTPRO/THY1/UNC5D/NMNAT2/DRAXIN/NEXN/NEUROD1/NFASC/SHH/RET/GDNF/EFNA1/RAC3/GAP43/SLITRK1/CDH4/NRXN1/UNC5C/NOG/EFNA5/SLITRK6/ROBO2/PRKG1/PTCH1/SLITRK2/APOD/PLEKHG4/NLGN3/L1CAM/ARHGEF28/PLXNA4/SEMA7A",64
"GO:0042270","GO:0042270","protection from natural killer cell mediated cytotoxicity","7/1276","15/13486",0.000217110655154983,0.00264326952975096,0.00196642123792646,"HLA-E/HLA-A/HLA-A/HLA-B/HLA-B/HLA-E/HLA-B",7
"GO:0007369","GO:0007369","gastrulation","30/1276","161/13486",0.00022684230611078,0.00275000408112699,0.00204582482741442,"ITGA3/LAMA3/WNT11/EYA1/SFRP1/BMPR1A/COL12A1/COL7A1/FN1/NR4A3/COL5A1/GSC/ITGA7/KLF4/DUSP5/ITGAV/COL8A1/GPC3/CRB2/TBX6/HMGA2/FZD7/MMP14/PLPP3/TGFBR2/ITGA2/NOG/LAMB3/APELA/ITGB3",30
"GO:0046879","GO:0046879","hormone secretion","38/1276","222/13486",0.000226974021049955,0.00275000408112699,0.00204582482741442,"ABCC8/BAIAP3/NR1H4/PTPRN/SREBF1/IL11/SMPD3/SFRP1/TRPV4/CNR1/MYB/VAMP8/FKBP1B/IL1B/PAX8/LIF/VGF/ANO1/SNAP25/AGT/IL6/CYP19A1/RBP4/ABCA12/EPHA5/ITPR1/DAB2/RAB11FIP1/KCNB1/NEUROD1/INHBB/UCN/CPLX1/EFNA5/PCLO/GABBR1/AQP1/LYN",38
"GO:0045685","GO:0045685","regulation of glial cell differentiation","16/1276","64/13486",0.000229838548634552,0.00277800038542389,0.00206665226356243,"TP73/PTN/NR2E1/CXCR4/EGR2/MYRF/LIF/IL6/IL33/ZNF365/TNFRSF21/IL34/SHH/SPINT1/ID4/NOG",16
"GO:0022408","GO:0022408","negative regulation of cell-cell adhesion","26/1276","132/13486",0.000234543633426722,0.0028280549645876,0.00210388962676551,"CD74/IL4R/CEACAM1/ARG2/JAG1/IL4I1/JAK3/CXCL12/TRPV4/TNFSF18/SDC4/IRF1/FGL2/GPNMB/HLX/KLF4/ABCA12/TNFRSF21/LAPTM5/ZC3H12A/SHH/LGALS9/TIGIT/PRKG1/PLA2G2A/PDCD1LG2",26
"GO:0050767","GO:0050767","regulation of neurogenesis","52/1276","335/13486",0.000237722930248731,0.00284596145656812,0.00211721089640183,"SOX8/ABCC8/CX3CL1/SEMA3B/PRKCH/VCAN/CAMK2B/NTN1/HES2/BRINP1/TP73/NRP1/PTN/CXCL12/BMPR1A/RND2/NR2E1/FN1/PROX1/MYB/CXCR4/EGR2/BHLHE41/MYRF/IL1B/LIF/FGF13/IL6/IL33/ZNF365/DMRTA2/CDKN2B/NTRK2/THY1/IL34/DRAXIN/SHH/SPINT1/ID4/HAP1/SLITRK1/CDH4/NOG/EFNA5/ROBO2/MME/L1CAM/TGM2/PLXNA4/SHANK3/LYN/SEMA7A",52
"GO:0061005","GO:0061005","cell differentiation involved in kidney development","13/1276","46/13486",0.000237918481430898,0.00284596145656812,0.00211721089640183,"PROM1/JAG1/ACTA2/STAT1/PAX8/LIF/PTPRO/MYO1E/KLF15/SHH/GDNF/PTCH1/CD24",13
"GO:0002704","GO:0002704","negative regulation of leukocyte mediated immunity","15/1276","58/13486",0.000239432961457685,0.00284596145656812,0.00211721089640183,"CEACAM1/IL4I1/JAK3/BST2/NOD2/LGALS9/HLA-E/HLA-A/HLA-A/HLA-B/HLA-B/HLA-E/HLA-F/HLA-B/HLA-F",15
"GO:0032608","GO:0032608","interferon-beta production","15/1276","58/13486",0.000239432961457685,0.00284596145656812,0.00211721089640183,"POLR3B/OAS1/PYCARD/RELB/RIGI/OAS3/OAS2/POLR3G/IFIH1/NMI/IRF1/IRF5/TLR4/ISG15/IRF7",15
"GO:0032648","GO:0032648","regulation of interferon-beta production","15/1276","58/13486",0.000239432961457685,0.00284596145656812,0.00211721089640183,"POLR3B/OAS1/PYCARD/RELB/RIGI/OAS3/OAS2/POLR3G/IFIH1/NMI/IRF1/IRF5/TLR4/ISG15/IRF7",15
"GO:0043299","GO:0043299","leukocyte degranulation","15/1276","58/13486",0.000239432961457685,0.00284596145656812,0.00211721089640183,"GAB2/STXBP2/IL4R/CEACAM1/HCK/PTGDS/VAMP8/NR4A3/LGALS9/ITGAM/RASGRP1/HLA-F/HLA-F/LYN/MILR1",15
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","38/1276","223/13486",0.000249245227075797,0.00294861806370802,0.00219358075964176,"PRKCH/TXK/PAK3/CEACAM1/OAS1/HCK/LIPA/LPXN/HHLA2/GBP1/TNFAIP3/NR4A3/NMI/CCR7/RFTN1/IRAK2/VAV3/TLR4/TNFRSF21/CD226/THY1/LY96/PIK3AP1/ICOSLG/LAPTM5/ZC3H12A/NOD2/NFKBID/CD14/TMEM126A/CMKLR1/C5AR1/CD247/HLA-A/DENND1B/HLA-A/LYN/TRAC",38
"GO:0061448","GO:0061448","connective tissue development","38/1276","223/13486",0.000249245227075797,0.00294861806370802,0.00219358075964176,"SOX8/NR1H4/SNAI2/CHRDL2/WNT11/PTHLH/TIMP1/SMPD3/BMPR1A/ACTA2/LIPA/COL1A1/ZBTB16/SOX6/TRPV4/MGP/LOX/PDGFRB/TGFBI/COL5A1/CHI3L1/BMPR1B/COL2A1/HMGA2/CBS/MSX1/PBXIP1/TGFBR2/LTBP3/AXIN2/ID4/LPL/SNORC/NOG/COL27A1/COL11A2/ITGB3/COL3A1",38
"GO:0050730","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","30/1276","162/13486",0.000253753032270165,0.00299488284674624,0.00222799876011823,"CRLF1/GPRC5A/CD74/IL11/NRP1/SFRP1/HPX/IL23A/HBEGF/TNFSF18/PTK2B/LIF/SH3BP5/AGT/IL6/ENPP2/PARP9/LRRK1/IL34/PLPP3/NOD2/EFNA1/PARP14/HCLS1/EFNA5/TNFRSF18/PDGFA/LYN/ITGB3/PECAM1",30
"GO:0002761","GO:0002761","regulation of myeloid leukocyte differentiation","19/1276","84/13486",0.000255979350161558,0.00300202847250457,0.00223331464262333,"CD74/CEACAM1/SFRP1/IL23A/TNFAIP6/LIF/CD101/TLR4/MYC/KLF10/IL34/ROR2/FOS/TRIB1/ERFE/HCLS1/LYN/IRF7/EVI2B",19
"GO:0042531","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein","11/1276","35/13486",0.000256153944623596,0.00300202847250457,0.00223331464262333,"CRLF1/HPX/IL23A/TNFSF18/LIF/IL6/PARP9/PARP14/HCLS1/TNFRSF18/LYN",11
"GO:0046638","GO:0046638","positive regulation of alpha-beta T cell differentiation","11/1276","35/13486",0.000256153944623596,0.00300202847250457,0.00223331464262333,"IL4R/ZBTB16/IL23A/HLX/ITPKB/IL2RG/TGFBR2/SHH/NFKBID/LGALS9/HLA-DRA",11
"GO:0007517","GO:0007517","muscle organ development","44/1276","271/13486",0.000259059235881207,0.00302900029645719,0.00225337993178476,"CYP26B1/SOX8/USP2/PKP2/MYLK/CAPN3/JPH1/BMPR1A/CRYAB/SOX6/MYL2/BVES/HBEGF/LOX/PROX1/POPDC2/EGR2/LIF/GSC/ITGA7/HLX/ITGA11/MSTN/DMRTA2/ITGB1BP2/TTN/ATF3/MSX1/COL6A3/SHH/MYORG/CXCL10/FOS/EFEMP2/TCAP/EGR3/NEB/NOG/FOXO4/DNER/TEAD4/ID3/STRA6/COL3A1",44
"GO:1902107","GO:1902107","positive regulation of leukocyte differentiation","26/1276","133/13486",0.000265833509236292,0.00309378394971982,0.00230157477162695,"CD74/IL4R/IL4I1/ZBTB16/IL23A/LIF/CD101/HLX/ITPKB/IL2RG/KLF10/MMP14/IL34/TGFBR2/SHH/AXL/NFKBID/LGALS9/ROR2/FOS/RASGRP1/TRIB1/EGR3/HCLS1/HLA-DRA/EVI2B",26
"GO:1903708","GO:1903708","positive regulation of hemopoiesis","26/1276","133/13486",0.000265833509236292,0.00309378394971982,0.00230157477162695,"CD74/IL4R/IL4I1/ZBTB16/IL23A/LIF/CD101/HLX/ITPKB/IL2RG/KLF10/MMP14/IL34/TGFBR2/SHH/AXL/NFKBID/LGALS9/ROR2/FOS/RASGRP1/TRIB1/EGR3/HCLS1/HLA-DRA/EVI2B",26
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","20/1276","91/13486",0.000268291915435243,0.00311516724033143,0.00231748255413727,"P2RX7/JPH1/TRPV4/FKBP1B/PTK2B/CXCR4/CCR7/ITGAV/ACKR3/ADM/PTGIR/BDKRB2/ADRA1B/ADRA1D/CMKLR1/GPR35/PRKG1/C5AR1/S1PR3/CD24",20
"GO:0150063","GO:0150063","visual system development","48/1276","304/13486",0.000272377473080986,0.00315530116622223,0.00234733959419496,"SOX8/PROM1/ATP2B4/DCX/ACHE/NRP1/VSX1/JAG1/TSPAN12/CRYAB/NR2E1/PDGFRB/PROX1/RDH10/NEUROD4/C3/BFSP1/ALDH1A2/COL5A1/PDGFRA/KLF4/MYO7A/CYP1B1/RBP4/BMPR1B/CYP1A1/COL8A1/NTRK2/CRB2/THY1/NEUROD1/TGFBR2/PITX2/SHH/FAT3/RET/ITGAM/COL8A2/ZHX2/RP1L1/SLITRK6/NHS/SPRED3/RORB/AQP1/MEGF11/CLN8/STRA6",48
"GO:0031960","GO:0031960","response to corticosteroid","22/1276","105/13486",0.000279862847931525,0.0032141862501904,0.00239114628072798,"TFAP4/PTGDS/SGK1/CDKN1A/FOSB/ZFP36/IL6/CYP1B1/MSTN/ADM/FBXO32/IGFBP7/UCN/GJB2/AXIN2/FOS/PCSK1/A2M/HSD11B2/GBA1/SSTR2/AQP1",22
"GO:0007187","GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","8/1276","20/13486",0.000280023802099921,0.0032141862501904,0.00239114628072798,"VIPR1/OPRD1/CNR1/AGT/PTGIR/HTR1D/SSTR2/HRH1",8
"GO:0019934","GO:0019934","cGMP-mediated signaling","8/1276","20/13486",0.000280023802099921,0.0032141862501904,0.00239114628072798,"GUCY1B1/IRAG1/APOE/GUCY1A1/NPR1/PDE3A/PRKG1/AQP1",8
"GO:0046641","GO:0046641","positive regulation of alpha-beta T cell proliferation","8/1276","20/13486",0.000280023802099921,0.0032141862501904,0.00239114628072798,"EBI3/IL23A/TGFBR2/LGALS9/HLA-E/HLA-A/HLA-A/HLA-E",8
"GO:0050878","GO:0050878","regulation of body fluid levels","44/1276","272/13486",0.000281478062401371,0.00322350219407598,0.00239807673927628,"TFPI/PLAUR/TXK/FBLN1/FAP/CEACAM1/MYL9/PLAT/TFPI2/SERPINE1/TRPV4/OAS2/ATP6V1B1/VAMP8/PLAU/APOE/ANO1/VAV3/PDGFRA/IL6/DGKB/TLR4/ENTPD1/ADM/PTPRO/DGKI/F11R/ITGA2/SHH/AXL/NPR1/HAS2/AQP4/HSD11B2/PROS1/F8/PRKG1/SERPINA1/PDGFA/AQP1/LYN/ITGB3/ANXA8/COL3A1",44
